id,nickname,ttSeller,signature,uniqueId,followerCount,followingCount,friendCount,heartCount,videoCount,diggCount,profileUrl,language
6968723545640600578,CountOnCaloi,False,Collecting and unboxing a lot of stuff 😅,countoncaloi,28900,309,0,243300,274,3075,tiktok.com/@countoncaloi,English
6569945328099065858,Redzki Red🇸🇦🇵🇭,False,Tiktok SHOP🇸🇦55% OFF DISCOUNT CODE: RED518 FOLLOW ME ON FB,redzki_red,406100,63,0,5600000,3111,3843,tiktok.com/@redzki_red,Indonesian
7232507611990590465,Nepali_line,False,"My life my choices, My mistakes my lessons, Not your business. Thank you.",nepaliline890,9367,18,0,577700,535,213,tiktok.com/@nepaliline890,Nepali
6884861340092269573,genipool,False,Contact me 👇👇👇,genipool14,1900000,6,0,25600000,203,10,tiktok.com/@genipool14,English
7344181018694124590,Lovequotes,False,"❤️ Life is Love , Love is Life❤️ ❤️❤️❤️❤️❤️❤️ 🙏🙏🙏🙏🙏🙏",bestlovequotess,149700,6,0,523900,63,699,tiktok.com/@bestlovequotess,English
7108406776059905030,Garima Ramjali ✝️,False,नया गित : हुन्न अब त 🎶 Fecebook : Garima Ramjali YouTube: Garima Ramjali 🙏❤️🫂,garimaramjali8,92600,53,0,3000000,2098,2499,tiktok.com/@garimaramjali8,Nepali
7326539250726978592,Funny,False,😊☺️😘🤣😂🥰,funny_dog272,266600,0,0,2200000,72,0,tiktok.com/@funny_dog272,English
7054516163045524481,Ronuel•Official🇵🇭🛸🔥,False,SECOND ACCOUNT SPAM LIKE🚫 BANNED 🚫 FB:Ronuel Devosora Quidip 😁✌️,ronuelquidip,317600,279,0,2800000,246,3912,tiktok.com/@ronuelquidip,English
7318725772369118226,༎ຶ‿༎ຶ,False,ACC phụ @hihi @thíc makeup nhưng flop???,hiluhilu___,7722,4,0,163400,28,37,tiktok.com/@hiluhilu___,Khmer
6703002955010688002,Ekaterinakorea,False,Сотрудничество в директ♡ Instagram ⬇️⬇️⬇️,ekaterinakorea,1700000,116,0,117500000,1295,11700,tiktok.com/@ekaterinakorea,Russian
